,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,cod_address,cod_customer,cod_id,cod_prod,cod_sales,cod_ship
0,1,CA-2017-152156,08/11/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,1,1,1,1,1,1
1,2,CA-2017-152156,08/11/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,1,1,1,2,2,1
2,6463,US-2018-133361,14/05/2018,17/05/2018,First Class,AJ-10780,Anthony Jacobs,Corporate,United States,Baltimore,Maryland,21215.0,East,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",261.96,308,322,3221,1612,1,3221
3,6462,US-2018-133361,14/05/2018,17/05/2018,First Class,AJ-10780,Anthony Jacobs,Corporate,United States,Baltimore,Maryland,21215.0,East,TEC-AC-10003280,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,89.97,308,322,3221,1058,1310,3221
4,6459,US-2018-133361,14/05/2018,17/05/2018,First Class,AJ-10780,Anthony Jacobs,Corporate,United States,Baltimore,Maryland,21215.0,East,OFF-AR-10001919,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",3.76,308,322,3221,876,1054,3221
5,6460,US-2018-133361,14/05/2018,17/05/2018,First Class,AJ-10780,Anthony Jacobs,Corporate,United States,Baltimore,Maryland,21215.0,East,OFF-AR-10003045,Office Supplies,Art,Prang Colored Pencils,14.7,308,322,3221,428,454,3221
6,6461,US-2018-133361,14/05/2018,17/05/2018,First Class,AJ-10780,Anthony Jacobs,Corporate,United States,Baltimore,Maryland,21215.0,East,OFF-AR-10003338,Office Supplies,Art,"Eberhard Faber 3 1/2"" Golf Pencils",37.2,308,322,3221,1473,4311,3221
7,6464,US-2018-133361,14/05/2018,17/05/2018,First Class,AJ-10780,Anthony Jacobs,Corporate,United States,Baltimore,Maryland,21215.0,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505,74.0,308,322,3221,200,2987,3221
8,5400,CA-2017-117681,09/04/2017,14/04/2017,Standard Class,HF-14995,Herbert Flentye,Consumer,United States,Los Angeles,California,90004.0,West,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,556.665,26,521,2688,1,3044,2688
9,4024,CA-2018-130764,27/10/2018,28/10/2018,First Class,JO-15145,Jack O'Briant,Corporate,United States,San Francisco,California,94110.0,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",556.665,95,706,1990,1230,3044,1990
10,4025,CA-2018-130764,27/10/2018,28/10/2018,First Class,JO-15145,Jack O'Briant,Corporate,United States,San Francisco,California,94110.0,West,TEC-PH-10003215,Technology,Phones,Jackery Bar Premium Fast-charging Portable Charger,95.84,95,706,1990,1648,3045,1990
11,8635,CA-2018-159793,25/08/2018,29/08/2018,Standard Class,SV-20365,Seth Vernon,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,130.98,12,278,4301,1,5278,4301
12,9335,CA-2018-110198,01/05/2018,02/05/2018,First Class,AG-10900,Arthur Gainer,Consumer,United States,Coral Springs,Florida,33065.0,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,314.352,249,152,4668,1,2318,4668
13,9336,CA-2018-110198,01/05/2018,02/05/2018,First Class,AG-10900,Arthur Gainer,Consumer,United States,Coral Springs,Florida,33065.0,South,OFF-LA-10004409,Office Supplies,Labels,Avery 492,4.608,249,152,4668,1595,872,4668
14,6044,CA-2018-145702,19/05/2018,24/05/2018,Second Class,AH-10075,Adam Hart,Corporate,United States,Knoxville,Tennessee,37918.0,South,FUR-CH-10001482,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,314.352,365,341,3012,546,2318,3012
15,6045,CA-2018-145702,19/05/2018,24/05/2018,Second Class,AH-10075,Adam Hart,Corporate,United States,Knoxville,Tennessee,37918.0,South,OFF-PA-10001526,Office Supplies,Paper,Xerox 1949,27.888,365,341,3012,1060,2826,3012
